      Start         | gemeldet |        Ende         | gemeldet | Dauer
--------------------+----------+---------------------+----------+---------------
24.09.2014 13:03:01 |   rac4   | 24.09.2014 13:21:02 |   rac4   | 1081 Sekunden
30.10.2014 12:33:01 |   rac4   | 30.10.2014 12:39:01 |   rac4   | 360 Sekunden
30.10.2014 23:03:01 |   rac4   | 30.10.2014 23:27:01 |   rac4   | 1440 Sekunden
01.12.2014 09:21:01 |   rac4   | 01.12.2014 09:27:01 |   rac4   | 360 Sekunden
02.12.2014 07:24:01 |   rac4   | 02.12.2014 08:21:01 |   rac4   | 3420 Sekunden
09.12.2014 03:30:01 |   rac4   | 09.12.2014 06:12:01 |   rac4   | 9720 Sekunden
25.02.2015 04:27:01 |   rac4   | 25.02.2015 04:42:01 |   rac4   | 900 Sekunden
25.02.2015 04:57:01 |   rac4   | 25.02.2015 05:12:01 |   rac4   | 900 Sekunden
27.03.2015 00:09:01 |   rac4   | 27.03.2015 00:30:01 |   rac4   | 1260 Sekunden
06.05.2015 15:33:01 |   rac4   | 06.05.2015 16:09:01 |   rac4   | 2160 Sekunden
06.05.2015 16:12:01 |   rac4   | 06.05.2015 16:39:01 |   rac4   | 1620 Sekunden
08.05.2015 23:21:01 |   rac4   | 08.05.2015 23:30:01 |   rac4   | 540 Sekunden
08.05.2015 23:33:01 |   rac4   | 08.05.2015 23:39:01 |   rac4   | 360 Sekunden
08.05.2015 23:51:01 |   rac4   | 08.05.2015 23:57:01 |   rac4   | 360 Sekunden
09.05.2015 00:03:01 |   rac4   | 09.05.2015 00:06:01 |   rac4   | 180 Sekunden
09.05.2015 00:12:01 |   rac4   | 09.05.2015 00:57:01 |   rac4   | 2700 Sekunden
09.05.2015 01:03:01 |   rac4   | 09.05.2015 01:09:01 |   rac4   | 360 Sekunden
09.05.2015 01:12:01 |   rac4   | 09.05.2015 01:27:01 |   rac4   | 900 Sekunden
09.05.2015 01:33:01 |   rac4   | 09.05.2015 01:36:01 |   rac4   | 180 Sekunden
09.05.2015 01:42:01 |   rac4   | 09.05.2015 01:48:01 |   rac4   | 360 Sekunden
09.05.2015 01:51:01 |   rac4   | 09.05.2015 01:57:01 |   rac4   | 360 Sekunden
09.05.2015 02:03:01 |   rac4   | 09.05.2015 02:09:01 |   rac4   | 360 Sekunden
28.07.2015 11:42:01 |   rac4   | 28.07.2015 11:48:01 |   rac4   | 360 Sekunden
29.07.2015 10:12:01 |   rac4   | 29.07.2015 10:18:01 |   rac4   | 360 Sekunden
30.07.2015 10:51:01 |   rac4   | 30.07.2015 10:57:01 |   rac4   | 360 Sekunden
30.07.2015 11:00:01 |   rac4   | 30.07.2015 11:06:01 |   rac4   | 360 Sekunden
30.07.2015 11:09:01 |   rac4   | 30.07.2015 11:57:01 |   rac4   | 2880 Sekunden
30.07.2015 12:18:01 |   rac4   | 30.07.2015 12:24:01 |   rac4   | 360 Sekunden
31.07.2015 11:03:01 |   rac4   | 31.07.2015 11:54:01 |   rac4   | 3060 Sekunden
08.08.2015 21:09:01 |   rac4   | 08.08.2015 21:15:01 |   rac4   | 360 Sekunden
08.08.2015 22:12:01 |   rac4   | 08.08.2015 22:18:01 |   rac4   | 360 Sekunden
09.08.2015 06:06:01 |   rac4   | 09.08.2015 06:12:01 |   rac4   | 360 Sekunden
09.08.2015 06:21:01 |   rac4   | 09.08.2015 06:27:01 |   rac4   | 360 Sekunden
09.08.2015 21:42:01 |   rac4   | 09.08.2015 21:54:01 |   rac4   | 720 Sekunden
10.08.2015 04:33:01 |   rac4   | 10.08.2015 04:39:01 |   rac4   | 360 Sekunden
10.08.2015 04:51:01 |   rac4   | 10.08.2015 04:54:01 |   rac4   | 180 Sekunden
10.08.2015 05:45:01 |   rac4   | 10.08.2015 05:51:01 |   rac4   | 360 Sekunden
13.08.2015 17:00:01 |   rac4   | 13.08.2015 17:06:01 |   rac4   | 360 Sekunden
13.08.2015 17:12:01 |   rac4   | 13.08.2015 17:18:01 |   rac4   | 360 Sekunden
16.08.2015 23:39:01 |   rac4   | 16.08.2015 23:45:01 |   rac4   | 360 Sekunden
01.09.2015 10:36:01 |   rac4   | 01.09.2015 10:51:01 |   rac4   | 900 Sekunden
08.09.2015 16:09:01 |   rac4   | 08.09.2015 16:33:01 |   rac4   | 1440 Sekunden
08.09.2015 16:36:01 |   rac4   | 08.09.2015 16:42:01 |   rac4   | 360 Sekunden
08.09.2015 16:45:01 |   rac4   | 08.09.2015 16:51:01 |   rac4   | 360 Sekunden
08.09.2015 18:21:01 |   rac4   | 08.09.2015 18:27:01 |   rac4   | 360 Sekunden
17.09.2015 10:21:01 |   rac4   | 17.09.2015 10:27:02 |   rac4   | 361 Sekunden
17.09.2015 23:03:01 |   rac4   | 17.09.2015 23:27:02 |   rac4   | 1441 Sekunden
29.09.2015 08:24:01 |   rac4   | 29.09.2015 08:30:01 |   rac4   | 360 Sekunden
07.10.2015 20:30:01 |   rac4   | 07.10.2015 23:06:01 |   rac4   | 9360 Sekunden
08.10.2015 01:21:01 |   rac4   | 08.10.2015 01:33:01 |   rac4   | 720 Sekunden
01.11.2015 01:12:01 |   rac4   | 01.11.2015 01:15:01 |   rac4   | 180 Sekunden
22.12.2015 06:03:01 |   rac4   | 22.12.2015 06:12:01 |   rac4   | 540 Sekunden
22.12.2015 06:15:02 |   rac4   | 22.12.2015 06:21:01 |   rac4   | 359 Sekunden
14.01.2016 11:39:01 |   rac4   | 14.01.2016 11:48:01 |   rac4   | 540 Sekunden
15.01.2016 07:03:01 |   rac4   | 15.01.2016 07:09:01 |   rac4   | 360 Sekunden
01.02.2016 02:12:01 |   rac4   | 01.02.2016 02:15:01 |   rac4   | 180 Sekunden
08.02.2016 10:09:01 |   rac4   | 08.02.2016 10:15:01 |   rac4   | 360 Sekunden
18.02.2016 16:09:01 |   rac4   | 18.02.2016 16:15:01 |   rac4   | 360 Sekunden
07.04.2016 12:00:01 |   rac4   | 07.04.2016 12:03:01 |   rac4   | 180 Sekunden
14.04.2016 12:18:01 |   rac4   | 14.04.2016 12:24:01 |   rac4   | 360 Sekunden
28.05.2016 12:18:01 |   rac4   | 28.05.2016 12:24:01 |   rac4   | 360 Sekunden
01.06.2016 02:18:01 |   rac4   | 01.06.2016 02:24:01 |   rac4   | 360 Sekunden
09.06.2016 10:24:01 |   rac4   | 09.06.2016 10:27:01 |   rac3   | 180 Sekunden
11.06.2016 12:21:01 |   rac3   | 11.06.2016 12:24:01 |   rac4   | 180 Sekunden
21.06.2016 19:36:01 |   rac4   | 21.06.2016 19:39:01 |   rac3   | 180 Sekunden
21.06.2016 20:57:01 |   rac3   | 21.06.2016 21:00:01 |   rac4   | 180 Sekunden
29.06.2016 22:09:01 |   rac3   | 29.06.2016 22:15:01 |   rac3   | 360 Sekunden
14.07.2016 17:36:01 |   rac4   | 14.07.2016 17:39:01 |   rac3   | 180 Sekunden
